?Cases
!Chroma
XM1014 | Quicksilver - Mil-Spec - 0:0.5
SCAR-20 | Grotto - Mil-Spec - 0:0.5
M249 | System Lock - Mil-Spec - 0:0.8
MP9 | Deadly Poison - Mil-Spec - 0:1
Dual Berettas | Urban Shock - Restricted - 0:0.47
Sawed-Off | Serenity - Restricted - 0:0.5
MAC-10 | Malachite - Restricted - 0:0.5
Desert Eagle | Naga - Restricted - 0:1
P250 | Muertos - Classified - 0:0.6
AK-47 | Cartel - Classified - 0:0.75
M4A4 | 龍王 (Dragon King) - Classified - 0:0.75
AWP | Man-o'-war - Covert - 0.1:0.2
Galil AR | Chatterbox - Covert - 0.35:0.85
!Chroma 2
Negev | Man-o'-war - Mil-Spec - 0.1:0.2
MP7 | Armor Core - Mil-Spec - 0:0.5
Sawed-Off | Origami - Mil-Spec - 0:0.55
P250 | Valence - Mil-Spec - 0:0.8
Desert Eagle | Bronze Deco - Mil-Spec - 0:0.46
AK-47 | Elite Build - Mil-Spec - 0:1
UMP-45 | Grand Prix - Restricted - 0:0.5
CZ75-Auto | Pole Position - Restricted - 0.25:0.35
MAG-7 | Heat - Restricted - 0:1
AWP | Worm God - Restricted - 0:0.45
FAMAS | Djinn - Classified - 0:1
Five-SeveN | Monkey Business - Classified - 0.1:0.9
Galil AR | Eco - Classified - 0.1:0.85
MAC-10 | Neon Rider - Covert - 0:0.45
M4A1-S | Hyper Beast - Covert - 0:1
!Chroma 3
Sawed-Off | Fubar - Mil-Spec - 0.4:1
P2000 | Oceanic - Mil-Spec - 0:0.6
M249 | Spectre - Mil-Spec - 0:0.5
Dual Berettas | Ventilators - Mil-Spec - 0:0.45
G3SG1 | Orange Crash - Mil-Spec - 0:0.52
SG 553 | Atlas - Mil-Spec - 0:0.81
MP9 | Bioleak - Mil-Spec - 0:0.5
CZ75-Auto | Red Astor - Restricted - 0:1
Tec-9 | Re-Entry - Restricted - 0:0.43
Galil AR | Firefight - Restricted - 0:1
XM1014 | Black Tie - Restricted - 0:0.75
SSG 08 | Ghost Crusader - Restricted - 0:1
UMP-45 | Primal Saber - Classified - 0:0.77
AUG | Fleet Flock - Classified - 0:1
P250 | Asiimov - Classified - 0.1:1
PP-Bizon | Judgement of Anubis - Covert - 0:0.5
M4A1-S | Chantico's Fire - Covert - 0:0.99
!Clutch Case
XM1014 | Oxide Blaze - Mil-Spec - 0:0.7
PP-Bizon | Night Riot - Mil-Spec - 0:0.8
P2000 | Urban Hazard - Mil-Spec - 0:1
Five-SeveN | Flame Test - Mil-Spec - 0:0.65
SG 553 | Aloha - Mil-Spec - 0:0.55
R8 Revolver | Grip - Mil-Spec - 0:1
MP9 | Black Sand - Mil-Spec - 0:1
Negev | Lionfish - Restricted - 0:0.55
Nova | Wild Six - Restricted - 0:0.80
MAG-7 | SWAG-7 - Restricted - 0:0.92
UMP-45 | Arctic Wolf - Restricted - 0:0.8
Glock-18 | Moonrise - Restricted - 0:0.65
AUG | Stymphalian - Classified - 0:0.63
AWP | Mortis - Classified - 0:0.64
USP-S | Cortex - Classified - 0:1
MP7 | Bloodsport - Covert - 0:0.65
M4A4 | Neo-Noir - Covert - 0:0.9
!CS:GO Weapon Case
MP7 | Skulls - Mil-Spec - 0.1:0.26
AUG | Wings - Mil-Spec - 0:0.14
SG 553 | Ultraviolet - Mil-Spec - 0.06:0.8
M4A1-S | Dark Water - Restricted - 0.1:0.26
USP-S | Dark Water - Restricted - 0.1:0.26
Glock-18 | Dragon Tattoo - Restricted - 0:0.08
Desert Eagle | Hypnotic - Classified - 0:0.08
AK-47 | Case Hardened - Classified - 0:1
AWP | Lightning Strike - Covert - 0:0.08
!CS:GO Weapon Case 2
P250 | Hive - Mil-Spec - 0:0.3
FAMAS | Hexane - Mil-Spec - 0:0.4
Tec-9 | Blue Titanium - Mil-Spec - 0:0.04
M4A1-S | Blood Tiger - Restricted - 0:0.3
SCAR-20 | Crimson Web - Restricted - 0.06:0.8
Dual Berettas | Hemoglobin - Restricted - 0:0.2
Nova | Graphite - Restricted - 0:0.12
Five-SeveN | Case Hardened - Restricted - 0:1
MP9 | Hypnotic - Restricted - 0:0.08
USP-S | Serum - Classified - 0:0.25
P90 | Cold Blooded - Classified - 0:08
SSG 08 | Blood in the Water - Covert - 0.06:0.2
!CS:GO Weapon Case 3
P2000 | Red FragCam - Mil-Spec - 0:0.7
Dual Berettas | Panther - Mil-Spec - 0:0.58
Glock-18 | Blue Fissure - Mil-Spec - 0:0.58
CZ75-Auto | Crimson Web - Mil-Spec - 0.06:0.8
